Date,Name,Close,High,Low,Open,Volume
01/31/2005,Xcel Brands Inc,"1,406.2491","1,406.2491","1,145.8326","1,406.2491","4,825",
02/01/2005,Xcel Brands Inc,"1,302.0825","1,302.0825","1,145.8326","1,302.0825","2,325",
02/03/2005,Xcel Brands Inc,"1,041.666","1,041.666","1,041.666","1,041.666","1,000",
02/04/2005,Xcel Brands Inc,"1,041.666","1,041.666","1,041.666","1,041.666",500,
02/08/2005,Xcel Brands Inc,"1,093.7493","1,093.7493","1,041.666","1,093.7493","1,360",
02/09/2005,Xcel Brands Inc,"1,145.8326","1,145.8326","1,145.8326","1,145.8326","1,000",
02/11/2005,Xcel Brands Inc,"1,093.7493","1,093.7493","1,093.7493","1,093.7493","1,000",
02/14/2005,Xcel Brands Inc,"1,119.79095","1,171.87425","1,093.7493","1,119.79095","1,300",
02/15/2005,Xcel Brands Inc,"1,145.8326","1,145.8326","1,093.7493","1,145.8326","2,000",
02/17/2005,Xcel Brands Inc,989.5827,989.5827,989.5827,989.5827,"2,000",
02/18/2005,Xcel Brands Inc,"1,041.666","1,093.7493","1,041.666","1,041.666","4,990",
02/24/2005,Xcel Brands Inc,"1,145.8326","1,145.8326",937.4994,"1,145.8326","4,000",
02/25/2005,Xcel Brands Inc,"1,197.9159","1,197.9159","1,041.666","1,197.9159","2,500",
03/04/2005,Xcel Brands Inc,937.4994,937.4994,885.4161,937.4994,"1,500",
03/09/2005,Xcel Brands Inc,937.4994,937.4994,937.4994,937.4994,200,
03/10/2005,Xcel Brands Inc,859.37445,859.37445,859.37445,859.37445,"6,000",
03/11/2005,Xcel Brands Inc,911.45775,911.45775,703.12455,911.45775,"5,700",
03/15/2005,Xcel Brands Inc,937.4994,937.4994,937.4994,937.4994,"4,000",
03/16/2005,Xcel Brands Inc,"1,005.20769","1,005.20769","1,005.20769","1,005.20769",500,
03/22/2005,Xcel Brands Inc,807.29115,807.29115,807.29115,807.29115,570,
03/24/2005,Xcel Brands Inc,807.29115,807.29115,807.29115,807.29115,500,
03/28/2005,Xcel Brands Inc,781.2495,807.29115,468.7497,781.2495,"9,416",
03/29/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,"1,954",
03/31/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,880,
04/01/2005,Xcel Brands Inc,781.2495,833.3328,729.1662,781.2495,"5,000",
04/07/2005,Xcel Brands Inc,885.4161,885.4161,885.4161,885.4161,500,
04/08/2005,Xcel Brands Inc,833.3328,833.3328,833.3328,833.3328,"1,254",
04/13/2005,Xcel Brands Inc,729.1662,729.1662,729.1662,729.1662,"1,000",
04/14/2005,Xcel Brands Inc,572.9163,578.12463,572.9163,572.9163,"1,500",
04/15/2005,Xcel Brands Inc,578.12463,578.12463,578.12463,578.12463,500,
04/20/2005,Xcel Brands Inc,708.33288,708.33288,624.9996,651.04125,"3,222",
04/22/2005,Xcel Brands Inc,624.9996,729.1662,624.9996,729.1662,"4,378",
04/26/2005,Xcel Brands Inc,624.9996,624.9996,624.9996,624.9996,500,
05/10/2005,Xcel Brands Inc,729.1662,911.45775,729.1662,781.2495,"11,000",
05/17/2005,Xcel Brands Inc,624.9996,651.04125,624.9996,651.04125,"2,000",
05/18/2005,Xcel Brands Inc,598.95795,624.9996,598.95795,624.9996,"1,000",
05/19/2005,Xcel Brands Inc,723.95787,723.95787,723.95787,723.95787,700,
05/20/2005,Xcel Brands Inc,572.9163,572.9163,572.9163,572.9163,"1,750",
05/23/2005,Xcel Brands Inc,677.0829,703.12455,677.0829,703.12455,"9,520",
05/24/2005,Xcel Brands Inc,781.2495,781.2495,729.1662,729.1662,"8,750",
05/25/2005,Xcel Brands Inc,781.2495,781.2495,703.12455,781.2495,"1,130",
06/01/2005,Xcel Brands Inc,781.2495,901.04109,703.12455,703.12455,"33,841",
06/02/2005,Xcel Brands Inc,781.2495,781.2495,781.2495,781.2495,"4,000",
06/03/2005,Xcel Brands Inc,781.2495,781.2495,781.2495,781.2495,"2,000",
06/06/2005,Xcel Brands Inc,781.2495,781.2495,781.2495,781.2495,"41,000",
06/07/2005,Xcel Brands Inc,739.58286,781.2495,729.1662,781.2495,"75,060",
06/08/2005,Xcel Brands Inc,770.83284,781.2495,729.1662,781.2495,"46,226",
06/09/2005,Xcel Brands Inc,770.83284,781.2495,677.0829,770.83284,"62,000",
06/10/2005,Xcel Brands Inc,729.1662,770.83284,703.12455,770.83284,"43,500",
06/13/2005,Xcel Brands Inc,781.2495,781.2495,744.79119,755.20785,"76,054",
06/15/2005,Xcel Brands Inc,776.04117,781.2495,776.04117,781.2495,"13,000",
06/16/2005,Xcel Brands Inc,770.83284,770.83284,770.83284,770.83284,"10,000",
06/17/2005,Xcel Brands Inc,781.2495,781.2495,781.2495,781.2495,"6,756",
06/22/2005,Xcel Brands Inc,729.1662,729.1662,729.1662,729.1662,500,
06/29/2005,Xcel Brands Inc,729.1662,729.1662,729.1662,729.1662,"5,000",
07/08/2005,Xcel Brands Inc,755.20785,755.20785,755.20785,755.20785,"1,000",
07/11/2005,Xcel Brands Inc,744.79119,781.2495,744.79119,781.2495,"16,140",
07/18/2005,Xcel Brands Inc,703.12455,755.20785,703.12455,744.79119,"6,500",
07/19/2005,Xcel Brands Inc,703.12455,703.12455,703.12455,703.12455,"4,000",
07/28/2005,Xcel Brands Inc,572.9163,624.9996,572.9163,624.9996,"4,000",
08/05/2005,Xcel Brands Inc,703.12455,703.12455,598.95795,598.95795,"5,550",
08/10/2005,Xcel Brands Inc,526.04133,598.95795,526.04133,598.95795,"3,300",
08/11/2005,Xcel Brands Inc,520.833,572.9163,520.833,546.87465,"15,000",
08/12/2005,Xcel Brands Inc,520.833,520.833,520.833,520.833,"3,200",
08/16/2005,Xcel Brands Inc,546.87465,546.87465,546.87465,546.87465,"5,000",
08/17/2005,Xcel Brands Inc,494.79135,494.79135,468.7497,468.7497,"5,000",
08/23/2005,Xcel Brands Inc,520.833,520.833,520.833,520.833,"3,700",
08/26/2005,Xcel Brands Inc,598.95795,598.95795,598.95795,598.95795,700,
08/29/2005,Xcel Brands Inc,624.9996,624.9996,624.9996,624.9996,"1,300",
08/30/2005,Xcel Brands Inc,624.9996,624.9996,624.9996,624.9996,"1,500",
09/07/2005,Xcel Brands Inc,546.87465,552.08298,526.04133,546.87465,"3,500",
09/12/2005,Xcel Brands Inc,651.04125,651.04125,651.04125,651.04125,"3,000",
09/13/2005,Xcel Brands Inc,546.87465,703.12455,546.87465,651.04125,"8,000",
09/14/2005,Xcel Brands Inc,583.33296,583.33296,552.08298,552.08298,"6,220",
09/15/2005,Xcel Brands Inc,572.9163,572.9163,552.08298,552.08298,"24,500",
09/27/2005,Xcel Brands Inc,552.08298,552.08298,552.08298,552.08298,"2,000",
10/12/2005,Xcel Brands Inc,552.08298,552.08298,552.08298,552.08298,"2,000",
10/13/2005,Xcel Brands Inc,546.87465,546.87465,546.87465,546.87465,"1,000",
10/14/2005,Xcel Brands Inc,598.95795,598.95795,546.87465,546.87465,950,
10/19/2005,Xcel Brands Inc,520.833,520.833,520.833,520.833,"40,418",
10/26/2005,Xcel Brands Inc,494.79135,598.95795,494.79135,598.95795,"12,115",
11/02/2005,Xcel Brands Inc,494.79135,494.79135,494.79135,494.79135,100,
11/03/2005,Xcel Brands Inc,531.24966,546.87465,520.833,520.833,"20,000",
11/04/2005,Xcel Brands Inc,520.833,520.833,520.833,520.833,"13,378",
11/07/2005,Xcel Brands Inc,494.79135,494.79135,494.79135,494.79135,"5,000",
11/11/2005,Xcel Brands Inc,494.79135,494.79135,494.79135,494.79135,"4,500",
11/17/2005,Xcel Brands Inc,453.12471,453.12471,442.70805,442.70805,"10,000",
11/18/2005,Xcel Brands Inc,494.79135,494.79135,442.70805,442.70805,"2,000",
11/21/2005,Xcel Brands Inc,442.70805,458.33304,442.70805,442.70805,"12,000",
12/05/2005,Xcel Brands Inc,442.70805,494.79135,442.70805,494.79135,"1,000",
12/08/2005,Xcel Brands Inc,494.79135,494.79135,442.70805,442.70805,"1,000",
12/09/2005,Xcel Brands Inc,442.70805,494.79135,416.6664,494.79135,"7,300",
12/12/2005,Xcel Brands Inc,442.70805,442.70805,338.54145,442.70805,"10,800",
12/22/2005,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,"1,000",
12/27/2005,Xcel Brands Inc,406.24974,406.24974,390.62475,390.62475,"3,000",
12/30/2005,Xcel Brands Inc,494.79135,494.79135,494.79135,494.79135,"1,000",
02/28/2006,Xcel Brands Inc,473.95803,494.79135,468.7497,489.58302,"34,500",
03/01/2006,Xcel Brands Inc,458.33304,458.33304,458.33304,458.33304,"5,000",
03/06/2006,Xcel Brands Inc,354.16644,416.6664,354.16644,416.6664,"5,000",
03/20/2006,Xcel Brands Inc,442.70805,442.70805,442.70805,442.70805,850,
04/04/2006,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,378,
05/10/2006,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,"2,500",
05/12/2006,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,"1,000",
05/26/2006,Xcel Brands Inc,468.7497,468.7497,390.62475,390.62475,300,
05/30/2006,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,"1,850",
06/06/2006,Xcel Brands Inc,390.62475,390.62475,390.62475,390.62475,"2,500",
06/07/2006,Xcel Brands Inc,182.29155,338.54145,182.29155,338.54145,"32,500",
06/30/2006,Xcel Brands Inc,182.29155,182.29155,182.29155,182.29155,"5,000",
08/08/2006,Xcel Brands Inc,133.0207482,171.87489,130.20825,156.2499,"35,214",
08/09/2006,Xcel Brands Inc,104.1666,104.1666,104.1666,104.1666,"15,000",
08/10/2006,Xcel Brands Inc,103.645767,104.1666,103.645767,104.1666,"27,800",
08/11/2006,Xcel Brands Inc,62.3437101,104.1666,62.3437101,104.1666,"24,000",
08/14/2006,Xcel Brands Inc,72.91662,72.91662,67.70829,67.70829,"30,000",
08/15/2006,Xcel Brands Inc,72.91662,88.54161,72.91662,72.91662,"30,000",
08/16/2006,Xcel Brands Inc,88.2811935,104.1666,88.2811935,88.54161,"30,500",
08/17/2006,Xcel Brands Inc,77.9166168,83.33328,75.520785,83.33328,"20,100",
08/18/2006,Xcel Brands Inc,65.104125,65.104125,65.104125,65.104125,"10,105",
08/21/2006,Xcel Brands Inc,68.6457894,78.12495,62.49996,78.12495,"30,000",
08/22/2006,Xcel Brands Inc,59.895795,72.91662,59.895795,72.91662,"30,000",
08/23/2006,Xcel Brands Inc,59.895795,59.895795,59.895795,59.895795,"10,000",
08/24/2006,Xcel Brands Inc,58.4374626,59.895795,57.29163,59.895795,"20,000",
08/25/2006,Xcel Brands Inc,62.3437101,67.70829,57.29163,67.70829,"20,000",
08/28/2006,Xcel Brands Inc,52.0833,57.29163,52.0833,57.29163,"20,000",
08/29/2006,Xcel Brands Inc,78.12495,78.12495,52.0833,52.0833,"30,000",
08/30/2006,Xcel Brands Inc,62.49996,62.49996,57.29163,57.29163,"20,000",
08/31/2006,Xcel Brands Inc,64.8957918,78.12495,57.29163,57.29163,"25,000",
09/01/2006,Xcel Brands Inc,57.29163,57.29163,57.29163,57.29163,"10,000",
09/05/2006,Xcel Brands Inc,57.1353801,67.70829,57.1353801,67.70829,"30,000",
09/06/2006,Xcel Brands Inc,67.70829,67.70829,67.70829,67.70829,"12,000",
09/07/2006,Xcel Brands Inc,54.166632,62.49996,52.0833,57.29163,"40,000",
09/08/2006,Xcel Brands Inc,62.49996,62.49996,52.0833,52.0833,"20,000",
09/11/2006,Xcel Brands Inc,52.0833,52.0833,46.87497,52.0833,"40,000",
09/15/2006,Xcel Brands Inc,67.70829,67.70829,62.49996,62.49996,"25,000",
09/27/2006,Xcel Brands Inc,78.12495,78.12495,78.12495,78.12495,"3,000",
10/13/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"5,000",
10/16/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"21,000",
10/18/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"15,000",
11/15/2006,Xcel Brands Inc,62.49996,62.49996,62.49996,62.49996,"12,500",
11/21/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"3,000",
11/27/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"1,250",
12/27/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"22,000",
12/28/2006,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"55,000",
01/03/2007,Xcel Brands Inc,31.24998,46.87497,31.24998,46.87497,"41,956",
01/04/2007,Xcel Brands Inc,88.54161,109.37493,46.87497,46.87497,"88,100",
01/05/2007,Xcel Brands Inc,109.37493,114.58326,93.74994,93.74994,"69,150",
01/08/2007,Xcel Brands Inc,78.12495,78.12495,78.12495,78.12495,"4,500",
01/09/2007,Xcel Brands Inc,78.12495,78.12495,78.12495,78.12495,"11,500",
01/11/2007,Xcel Brands Inc,52.0833,62.49996,52.0833,62.49996,"14,500",
01/18/2007,Xcel Brands Inc,72.91662,72.91662,72.91662,72.91662,"5,000",
02/07/2007,Xcel Brands Inc,62.49996,62.49996,62.49996,62.49996,"2,900",
02/15/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,100,
02/23/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,375,
02/26/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,500,
04/09/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"1,000",
04/10/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"28,800",
04/16/2007,Xcel Brands Inc,52.0833,54.687465,52.0833,54.687465,"2,550",
04/23/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"1,200",
04/24/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"1,550",
04/27/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"30,000",
05/03/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"22,000",
05/23/2007,Xcel Brands Inc,52.0833,52.0833,52.0833,52.0833,"1,000",
06/25/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,584,
07/12/2007,Xcel Brands Inc,57.29163,57.29163,57.29163,57.29163,"10,000",
10/15/2007,Xcel Brands Inc,52.0833,57.29163,52.0833,52.0833,"125,000",
10/19/2007,Xcel Brands Inc,46.87497,52.0833,46.87497,52.0833,"32,705",
11/20/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"9,235",
11/21/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"9,235",
11/27/2007,Xcel Brands Inc,46.87497,46.87497,46.87497,46.87497,"5,765",
11/29/2007,Xcel Brands Inc,26.04165,41.66664,26.04165,41.66664,"20,000",
12/05/2007,Xcel Brands Inc,26.04165,26.04165,26.04165,26.04165,"13,466",
12/11/2007,Xcel Brands Inc,20.83332,26.04165,20.83332,26.04165,"40,100",
12/28/2007,Xcel Brands Inc,20.83332,20.83332,20.83332,20.83332,250,
01/02/2008,Xcel Brands Inc,20.83332,20.83332,20.83332,20.83332,"15,000",
01/10/2008,Xcel Brands Inc,15.62499,18.229155,15.62499,18.229155,"35,000",
01/11/2008,Xcel Brands Inc,15.62499,15.62499,11.458326,11.458326,"1,800",
01/23/2008,Xcel Brands Inc,11.458326,13.020825,11.458326,11.458326,"58,100",
01/24/2008,Xcel Brands Inc,10.41666,15.62499,10.41666,11.458326,"62,900",
02/08/2008,Xcel Brands Inc,10.41666,10.41666,7.812495,7.812495,"6,500",
02/14/2008,Xcel Brands Inc,10.41666,10.41666,10.41666,10.41666,"5,000",
02/20/2008,Xcel Brands Inc,15.62499,15.62499,15.62499,15.62499,"15,000",
02/26/2008,Xcel Brands Inc,15.62499,15.62499,13.020825,13.020825,"62,100",
03/11/2008,Xcel Brands Inc,20.83332,20.83332,20.83332,20.83332,"10,000",
03/14/2008,Xcel Brands Inc,20.83332,20.83332,15.62499,20.83332,"13,000",
03/28/2008,Xcel Brands Inc,20.83332,20.83332,20.83332,20.83332,"15,000",
04/02/2008,Xcel Brands Inc,20.83332,20.83332,15.62499,20.83332,"280,000",
04/04/2008,Xcel Brands Inc,20.83332,20.83332,20.83332,20.83332,100,
04/14/2008,Xcel Brands Inc,10.41666,10.41666,10.41666,10.41666,"5,000",
04/21/2008,Xcel Brands Inc,8.854161,8.854161,8.854161,8.854161,"5,000",
04/22/2008,Xcel Brands Inc,5.20833,7.812495,5.20833,7.812495,"25,000",
05/01/2008,Xcel Brands Inc,5.20833,5.729163,5.20833,5.20833,"60,500",
05/05/2008,Xcel Brands Inc,2.604165,4.166664,2.604165,4.166664,"10,000",
06/04/2008,Xcel Brands Inc,2.604165,2.604165,2.604165,2.604165,"20,000",
06/30/2008,Xcel Brands Inc,2.083332,2.083332,2.083332,2.083332,"4,000",
07/14/2008,Xcel Brands Inc,2.083332,2.083332,2.083332,2.083332,"5,000",
07/24/2008,Xcel Brands Inc,1.562499,1.8229155,1.562499,1.8229155,"15,000",
08/28/2008,Xcel Brands Inc,1.2499992,1.3020825,1.2499992,1.3020825,"250,000",
10/17/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"2,000",
10/23/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"5,000",
11/04/2008,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"5,000",
11/06/2008,Xcel Brands Inc,1.041666,1.0937493,1.041666,1.0937493,"15,000",
11/21/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"15,000",
12/04/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"25,000",
12/17/2008,Xcel Brands Inc,0.520833,0.520833,0.2604165,0.2604165,"534,000",
12/26/2008,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"650,000",
01/16/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"59,000",
01/20/2009,Xcel Brands Inc,0.2604165,0.2604165,0.2604165,0.2604165,"325,000",
04/13/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
04/20/2009,Xcel Brands Inc,2.604165,2.604165,2.604165,2.604165,"5,000",
04/23/2009,Xcel Brands Inc,2.083332,2.083332,2.083332,2.083332,"5,000",
06/12/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
06/16/2009,Xcel Brands Inc,0.520833,0.520833,0.520833,0.520833,"5,000",
09/16/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"100,000",
09/24/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"64,519",
11/16/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"28,280",
11/17/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"29,000",
11/19/2009,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"28,280",
02/01/2010,Xcel Brands Inc,1.041666,1.041666,1.041666,1.041666,"10,000",
02/03/2010,Xcel Brands Inc,1.3020825,1.3020825,1.3020825,1.3020825,"10,000",
02/09/2010,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"5,000",
02/18/2010,Xcel Brands Inc,4.166664,5.20833,1.562499,1.562499,"50,000",
02/24/2010,Xcel Brands Inc,4.166664,4.166664,4.166664,4.166664,"5,000",
03/18/2010,Xcel Brands Inc,3.124998,3.124998,3.124998,3.124998,"1,000",
03/23/2010,Xcel Brands Inc,2.604165,3.124998,2.604165,3.124998,"10,000",
03/24/2010,Xcel Brands Inc,0.3645831,1.041666,0.3645831,1.041666,"50,000",
03/29/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"5,000",
03/30/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"59,702",
04/06/2010,Xcel Brands Inc,0.7812495,0.7812495,0.7812495,0.7812495,"1,500",
05/06/2010,Xcel Brands Inc,0.8854161,0.8854161,0.8854161,0.8854161,"61,202",
05/25/2010,Xcel Brands Inc,1.041666,1.041666,1.041666,1.041666,"5,000",
06/07/2010,Xcel Brands Inc,0.5729163,0.5729163,0.5729163,0.5729163,"4,625",
08/12/2010,Xcel Brands Inc,1.0937493,1.0937493,1.0937493,1.0937493,"29,250",
09/02/2010,Xcel Brands Inc,5.20833,20.83332,4.687497,4.687497,"215,333",
09/03/2010,Xcel Brands Inc,5.20833,5.20833,5.20833,5.20833,"75,000",
09/07/2010,Xcel Brands Inc,7.812495,7.812495,4.5312471,4.5312471,"73,702",
09/08/2010,Xcel Brands Inc,5.729163,7.812495,5.729163,6.770829,"57,500",
09/09/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"30,000",
09/10/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"288,000",
09/13/2010,Xcel Brands Inc,9.895827,10.41666,7.812495,7.812495,"951,995",
09/14/2010,Xcel Brands Inc,8.854161,10.41666,7.812495,9.895827,"344,900",
09/15/2010,Xcel Brands Inc,6.8229123,10.41666,6.770829,10.41666,"184,900",
09/16/2010,Xcel Brands Inc,7.812495,9.895827,7.812495,8.854161,"89,302",
09/17/2010,Xcel Brands Inc,6.770829,7.812495,6.770829,7.812495,"46,600",
09/20/2010,Xcel Brands Inc,9.374994,9.374994,9.374994,9.374994,"3,000",
09/21/2010,Xcel Brands Inc,6.770829,6.770829,6.770829,6.770829,"15,000",
09/22/2010,Xcel Brands Inc,5.20833,7.291662,5.20833,7.291662,"202,400",
09/23/2010,Xcel Brands Inc,5.20833,5.20833,5.20833,5.20833,"30,000",
09/29/2010,Xcel Brands Inc,3.645831,4.166664,3.645831,4.166664,"35,000",
09/30/2010,Xcel Brands Inc,3.645831,3.645831,3.645831,3.645831,"121,000",
10/11/2010,Xcel Brands Inc,3.645831,3.645831,3.645831,3.645831,"16,000",
11/03/2010,Xcel Brands Inc,4.166664,4.166664,4.166664,4.166664,"10,185",
11/08/2010,Xcel Brands Inc,7.291662,7.291662,7.291662,7.291662,"1,425",
11/11/2010,Xcel Brands Inc,7.291662,7.291662,6.770829,6.770829,"80,000",
11/15/2010,Xcel Brands Inc,8.333328,8.333328,8.333328,8.333328,"10,000",
11/16/2010,Xcel Brands Inc,9.895827,12.7604085,7.812495,8.333328,"737,491",
11/17/2010,Xcel Brands Inc,12.499992,12.499992,9.374994,10.937493,"537,932",
11/18/2010,Xcel Brands Inc,9.895827,11.979159,9.895827,11.979159,"70,920",
11/22/2010,Xcel Brands Inc,9.895827,9.895827,9.895827,9.895827,"35,500",
11/30/2010,Xcel Brands Inc,8.854161,8.854161,8.854161,8.854161,"13,000",
12/02/2010,Xcel Brands Inc,7.812495,7.8645783,7.812495,7.8645783,"10,000",
12/03/2010,Xcel Brands Inc,12.499992,12.499992,7.812495,7.812495,"14,190",
12/06/2010,Xcel Brands Inc,6.3020793,7.812495,6.3020793,7.812495,"80,000",
12/07/2010,Xcel Brands Inc,6.770829,6.770829,6.770829,6.770829,"1,000",
12/17/2010,Xcel Brands Inc,5.729163,6.770829,5.729163,6.770829,"20,850",
12/21/2010,Xcel Brands Inc,3.124998,5.729163,3.124998,5.729163,"45,000",
12/22/2010,Xcel Brands Inc,7.812495,7.812495,7.812495,7.812495,"3,730",
